Granja,Galpón,Sexo,Día,Cosechado (1/0)
EL JARDIN,9,M,5,0
EL JARDIN,9,M,6,0
EL JARDIN,10,M,1,0
EL JARDIN,10,M,2,0
EL JARDIN,10,M,3,0
EL JARDIN,10,M,4,0
EL JARDIN,10,M,5,0
EL JARDIN,10,M,6,0
EL JARDIN,11,M,1,0
EL JARDIN,11,M,2,0
EL JARDIN,11,M,3,0
EL JARDIN,11,M,4,0
EL JARDIN,11,M,5,0
EL JARDIN,11,M,6,1
EL JARDIN,12,H,1,0
EL JARDIN,12,H,2,0
EL JARDIN,12,H,3,0
EL JARDIN,12,H,4,0
EL JARDIN,12,H,5,0
EL JARDIN,12,H,6,0
EL JARDIN,13,M,1,0
EL JARDIN,13,M,2,0
EL JARDIN,13,M,3,0
EL JARDIN,13,M,4,0
EL JARDIN,13,M,5,0
EL JARDIN,13,M,6,0
EL JARDIN,14,M,1,0
EL JARDIN,14,M,2,0
EL JARDIN,14,M,3,0
EL JARDIN,14,M,4,0
EL JARDIN,14,M,5,0
EL JARDIN,14,M,6,0
EL JARDIN,15,M,1,0
EL JARDIN,15,M,2,0
EL JARDIN,15,M,3,0
EL JARDIN,15,M,4,0
EL JARDIN,15,M,5,0
EL JARDIN,15,M,6,0
LA CAMILA,1,M,1,0
LA CAMILA,1,M,2,0
LA CAMILA,1,M,3,0
LA CAMILA,1,M,4,0
LA CAMILA,1,M,5,0
LA CAMILA,1,M,6,0
LA CAMILA,1,H,1,0
LA CAMILA,1,H,2,0
LA CAMILA,1,H,3,0
LA CAMILA,1,H,4,0
LA CAMILA,1,H,5,0
LA CAMILA,1,H,6,0
EL TREBOL,1,H,1,0
EL TREBOL,1,H,2,0
EL TREBOL,1,H,3,0
EL TREBOL,1,H,4,0
EL TREBOL,1,H,5,0
EL TREBOL,1,H,6,0
EL TREBOL,2,H,1,0
EL TREBOL,2,H,2,0
EL TREBOL,2,H,3,0
EL TREBOL,2,H,4,0
EL TREBOL,2,H,5,0
EL TREBOL,2,H,6,0
EL TREBOL,3,H,1,0
EL TREBOL,3,H,2,0
EL TREBOL,3,H,3,0
EL TREBOL,3,H,4,0
EL TREBOL,3,H,5,0
EL TREBOL,3,H,6,0
EL TREBOL,4,M,1,0
EL TREBOL,4,M,2,0
EL TREBOL,4,M,3,0
EL TREBOL,4,M,4,0
EL TREBOL,4,M,5,0
EL TREBOL,4,M,6,0
EL TREBOL,5,H,1,0
EL TREBOL,5,H,2,0
EL TREBOL,5,H,3,0
EL TREBOL,5,H,4,0
EL TREBOL,5,H,5,0
EL TREBOL,5,H,6,0
EL TREBOL,6,H,1,0
EL TREBOL,6,H,2,1
EL TREBOL,6,H,3,0
EL TREBOL,6,H,4,0
EL TREBOL,6,H,5,0
EL TREBOL,6,H,6,0
EL TREBOL,7,M,1,0
EL TREBOL,7,M,2,0
EL TREBOL,7,M,3,0
EL TREBOL,7,M,4,0
EL TREBOL,7,M,5,0
EL TREBOL,7,M,6,0
EL TREBOL,8,M,1,0
EL TREBOL,8,M,2,0
EL TREBOL,8,M,3,1
EL TREBOL,8,M,4,0
EL TREBOL,8,M,5,0
EL TREBOL,8,M,6,0
EL TREBOL,9,M,1,0
EL TREBOL,9,M,2,0
EL TREBOL,9,M,3,0
EL TREBOL,9,M,4,0
EL TREBOL,9,M,5,0
EL TREBOL,9,M,6,0
LA FLORESTA,6,M,1,0
LA FLORESTA,6,M,2,0
LA FLORESTA,6,M,3,0
LA FLORESTA,6,M,4,1
LA FLORESTA,6,M,5,0
LA FLORESTA,6,M,6,0
LA FLORESTA,11,H,1,0
LA FLORESTA,11,H,2,0
LA FLORESTA,11,H,3,0
LA FLORESTA,11,H,4,0
LA FLORESTA,11,H,5,0
LA FLORESTA,11,H,6,0
VIDA LUISA,1,M,1,0
VIDA LUISA,1,M,2,0
VIDA LUISA,1,M,3,0
VIDA LUISA,1,M,4,0
VIDA LUISA,1,M,5,0
VIDA LUISA,1,M,6,0
VIDA LUISA,1,H,1,1
VIDA LUISA,1,H,2,0
VIDA LUISA,1,H,3,0
VIDA LUISA,1,H,4,0
VIDA LUISA,1,H,5,0
VIDA LUISA,1,H,6,0
VIDA LUISA,2,M,1,0
VIDA LUISA,2,M,2,0
VIDA LUISA,2,M,3,0
VIDA LUISA,2,M,4,0
VIDA LUISA,2,M,5,0
VIDA LUISA,2,M,6,0
VIDA LUISA,2,H,1,0
VIDA LUISA,2,H,2,1
VIDA LUISA,2,H,3,0
VIDA LUISA,2,H,4,0
VIDA LUISA,2,H,5,0
VIDA LUISA,2,H,6,0
VIDA LUISA,3,M,1,0
VIDA LUISA,3,M,2,0
VIDA LUISA,3,M,3,0
VIDA LUISA,3,M,4,1
VIDA LUISA,3,M,5,0
VIDA LUISA,3,M,6,0
VIDA LUISA,3,H,1,0
VIDA LUISA,3,H,2,0
VIDA LUISA,3,H,3,0
VIDA LUISA,3,H,4,0
VIDA LUISA,3,H,5,0
VIDA LUISA,3,H,6,0
